text,date,platform_id,company_id
Плохо,01.09.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Мучение дельфинов,01.08.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Окрававленное животное участвовало в представлении,  бассейн грязный,  рядом строительный мусор. За животными не ухаживают",01.08.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Погрузиться в пучину,01.08.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Современный большой океанариум. Много научно-популярной информации об эволюции в целом. Интересно воссозданы участки приморских рек в разных течениях с живыми рыбами. Очень много небольших аквариумов. Организован ""трогательный"" аквариум, где можно пощупать морских звёзд, крабиков и т.п. Есть воссозданный участок тропического леса. Интересная уличная территория. А вот самый большой аквариум со стеклянным тоннелем не впечатлил после барселонского. Но посетить стоит.",01.07.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Есть над чем работать!,01.07.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Хорошо,01.06.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Вполне, но не восторг",01.05.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Наверное, мой отзыв будет самым объективным и не преисполненным восторга. Обычный океанариум, чуть уступает московскому по наполнению, но однозначно превосходит по масштабу территории вокруг. Оценивать  ассортимент рыб - не берусь, не знаток, но по мне так не хватило больших особей рыб. Моё путешествие длилось чуть больше часа, ни о каких 4-часовых походах там речи не идет( ну, разве что, если фотографироваться на фоне каждого экспоната. А вот территория Вокруг океанариума - масштабности придаёт, и очень интересно оформлены некоторые ее участки + море омывает берег чуть поодаль территории. До корпуса с дельфинами не дошли, но слышали их «крик», так что подтверждаю- дельфины там есть:) В общем, если вы во Владивостоке впервые, сломя голову рваться в океанариум точно не стоит, а для коротания досуга - можно.",01.04.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Экспозиция интересная, персонал не очень.",01.03.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Новый, большой, красивый океанариум. Очень понравился первый этаж с экскурсом в историю возникновения жизни в воде. Но несколько локаций закрыты на переоформление. Испортила впечатление сотрудница океанариума у аквариума нерпы. Мы с дочкой ждали кормления, сотрудница в резкой форме сказала ей отойти и пропустить к аквариуму детей. Смотреть что-либо дальше желания не было.",01.03.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Самое крутое место,01.03.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Океанариум просто нас очаровал. Осталось масса эмоций как у взрослых, так и у ребёнка. Незабываемое и не передаваемые ощущение после увиденного. Мы не пожалели",01.02.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Оценка за белух и моржа Мишу,01.02.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Ставлю 4 исключительно за выступление белух и моржа Миши в дельфинарии. Номер с дельфинами никакой… Большой плюс, что представление в дельфинарии короткое, тк после океанариума ребенок устал жутко… Сам океанариум не ужасен, но и хорошей оценки не заслуживает. Почти во всем океанариуме воняет туалетом, кроме одного автомата больше негде купить воды и еды, работало одно кафе забитое людьми с грязными столами. Для такого пространства мало рыб, зато начинается с довольно длинного маршрута с залами по зарождению жизни. Ребёнок пока шел, раз 10 спросил «а где рыбы?» Покупали билеты в дельфинарий вместе с билетами в океанариум, места за нас выбрала кассирша, там же мы узнали время представления, уже после покупки билета. Парковка ЗА территорией, ходит бесплатный шатл, один и маленький, не часто. Идти около 1 км. Территория большая и красивая. Есть где погулять. Стоят таблички «осторожно змеи», и выбегают к людям лисы. Планируйте на посещение целый день, берите воду и еду с собой. Здание красивое, все прекрасно оформлено, но есть много минусов из-за которых , восторга место не вызвало…",01.02.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Познавательный отдых,01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Хорошо,01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
туризм,01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Потрясающее место. Начиная от самого его начала, территории и заканчивая самим океанариумом. Масштабы потрясают воображение. На территории все очень красиво, чисто, красивые насаждения и альпийские горки. В океанариуме собрано много информации о самом океане и его обитателях. Также есть дельфинарий и представления с участием дельфинов, белух и моржа. Представление фантастическое, дрессировщики демонстрируют свои умения не только отличных дрессировщиков, но и другие умения, это и гимнастика и подводное плавание.... одним словом завораживает.",01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
Визитка Владивостока,01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
"Классное место. Были во многих океанариумах по миру, даёт фору многим. Особенно понравилось шоу дельфинов. Там бассейн для них связан естественным образом с морем, поэтому они по сути под крышей на море. Рекомендую! Почему то мало маркетят это место как и в целом отсров русский. Особо нигде не слышал про это место пока не приехал во Владивосток.",01.01.2022,tripadvisor.ru,"Приморский океанариум (остров Русский), Владивосток"
