text,date,platform_id,company_id
"Потрясающий океанариум. Очень интересная экспозиция, рыбы в аквариумах самые разнообразные. Все красочно и познавательно. Территория очень ухоженная. Мы были в сезон, поэтому огромные очереди в кассу и на вход были неизбежны. Но можно купить билет на сайте и не стоять как минимум очередь в кассу (это была огромная толпа народа, неужели никто не знает об этой волшебной функции???). Покупка билета на сайте заняла не больше 10 минут, без лишних персональных данных прошла регистрацию, оплатила и вуаля! Я могу попасть в океанариум! Если вы сделали именно так, то в очереди на вход поспрашивайте, у всех ли стоящих в ней есть билет? Потому что, как оказалось в нашем случае, половина семьи стоит в кассу, половина на вход. Можно было раньше окликнуть всех, обойти безбилетников и не стоять 15 мин под палящим солнцем.
В общем, впечатления остались исключительно положительные. На прохождение всей экспозиции у нас ушло 3 с лишним часа. ",21.08.2022,yandex,Приморский океанариум
"Приезжайте и с детьми, и без: здесь так интересно и детям и взрослым. Из города ходит автобус, что очень удобно. Вот парковка небольшая для такого наплыва посетителей, поэтому приезжайте пораньше. С четверга по воскресенье можно посмотреть шоу с дельфинами, это просто нечто, ни капли не пожалеете. За неимением свободного времени мы пробежали экспозицию за 4 часа(и не заметили этих часов - так интересно), но так жалко было уходить... Прогулялись вокруг океанариума: территория обихоженная, оформленная  с любовью и фантазией, очень чисто. Туалетов внутри много и они чистые, не смотря на огромное число гостей. Кафе есть, но мы не заходили. На территории за океанариумом отличная зона отдыха. Есть детские площадки, места для отдыха. Словом, всего не рассказать, езжайте и наслаждайтесь. Персонал очень внимательный и доброжелательный.",17.06.2022,yandex,Приморский океанариум
"Океанариум очень порадовал и даже впечатлил.
Все очень масштабное, огромная хорошо спланированная территория для прогулок по улице. Огромное здание самого океанариума, где на трех этажах размещены водные обитатели из разных климатических зон, и даже можно сказать из разных эпох. Экскурсия начинается с зала о происхождении жизни. О представлены палеонтологические Находки из разных периодов. Будь мы без детей, я бы тут завис на подольше, чтобы прочитать всю инфу, но увы нельзя объять необъятное. И остальные залы значительно красочнее, живее и интереснее для детей. Есть даже контактная часть, где можно пожмулькать трепанга, погладить морскую звезду и поиграть с отшельниками.
Не ломитесь в самый первый туалет в здании. Туда может образоваться очередь. А по пути всей экскурсии недостатка в туалетах нет. Все чистые и хорошо оборудованные (правда на уличной территории с ними какая-то напряжёнка. Указатели есть, но сами туалеты мы не видели, кроме двух вонючих биокабинок рядом с кассами). В здании есть ресторан-кафешка, но это пожалуй главный минус. Она одна, народу там много. Все недешево, но и не сказать, что дорого (нас двое взрослых и трое детей. Поели на 3000). Выбор невелик. По качеству - на 3+.
При этом уличная территория настолько огромная, что там можно было бы десятки тематических ресторанов и кафешек разместить. Но нет ни одного. Жаль. Недоработка организаторов.
В остальном все чудесно. Поездка и нам и детям очень понравилась. Планируйте на нее весь день.",05.08.2022,yandex,Приморский океанариум
"Интересное место. Всё красиво снаружи, чистенько, ухожено. Экспозиции понятно - на отлично. Но ""бытовые"" мелочи портят всё впечатление. Парковка - машин 50-60 максимум. Остальные все - на обочинах, в грязи, на соседних дорогах.
К океанариуму проезда нет, в 1,5км КПП. Дальше либо пешком, либо на бесплатном автобусе-челноке. И вот вы на месте. Сначала очередь в кассу, затем в сам океанариум. Минут 30 точно постоять придется. Некоторым становится плохо, если погода душная.
Ни на улице, ни внутри кафе нет, только автоматы с шоколадками.
Туалеты - не самые свежие, запахи далеко распространяются ...
",06.08.2022,yandex,Приморский океанариум
"Обязательно стОит посетить. Интересно будет и детям, и взрослым. Удобно добираться - от остановки общественного транспорта/парковки ходит шаттл до океанариума каждые 15 минут. Внутри есть кафе ""трюм"" - недешевое, но также есть специально отведенные места, где можно перекусить своей едой. Билеты удобно покупать на сайте, но если у вас есть льготы - билеты покупаются непосредственно в кассе при наличии документов, подтверждающих льготы. Внутри комфортная температура. Каждый час начинаются бесплатные обзорные экскурсии - уточняйте на стойке администратора. Мы с подругой обошли 2 раза весь океанариум - сначала с экскурсией, а после обеда самостоятельно. И не пропустите кормление скатов и акул! Расписание всех мероприятий есть на сайте.",09.08.2022,yandex,Приморский океанариум
"Современное, красивое здание. Ухоженная и уютная территория.  Хорошая детская игровая площадка для юных поситителей. Парковка не полагается,
машины оставляют на кпп. До самого океанариума довозит автобус, что хорошо и удобно с маленькими детьми. Но можно и прекрасно прогуляться по дорожке до билетных касс. Красивое и познавательное оформление в залах. Много интересной и познавательной информации.Очень высокая цена за билет. Мало живых морских обитателей,  дельфина можно увидеть только в четверг и еще надо доплатить к основному билету. Кафе не работало , воды попить не было где купить.",10.05.2022,yandex,Приморский океанариум
"Прекрасное место для отдыха семьёй, друзьями или индивидуального досуга. В океанариуме представлены интересные экспозиции с интерактивным элементом. Это хорошо сказывается на погружении в атмосферу. Отдельное удовольствие наблюдать за животными: байкальские нерпы и морские котики никого не оставят равнодушными. Лучше туда идти на часов четыре или пять, потому что мой опыт(ходила туда за два часа до закрытия) показал, что этого времени катастрофически мало.
За океанариумом есть прекрасное место для отдыха, оборудованная площадка и небольшое озеро с карпами. На территории парка есть общественный туалет.

Рекомендую
",10.07.2022,yandex,Приморский океанариум
"Место великолепное! Такое разнообразие морских животных, рыб, малюсков! Просто шикарное морское царство ! Горжусь!
И все это в моем родном городе.
В океанариуме я узнала, сколько соли содержится в морской воде)

Правда, попасть в дельфинарий не удалось... Для живой очереди билетов уже не было... Увы... На сайте, со слов других посетителей, тоже большая проблема в начале сентября была купить билеты...
Выражаю искреннюю надежду, что сайт разработчики обновят и усовершенствуют!
Сайт, пардон, на троечку((
В остальном- полный восторг! Здание и территория абсолютно соответствует мировым стандартам.
Живу в другом регионе, очень скучаю по своей малой Родине, а когда бываю, испытываю самые возвышенные чувства и эмоции!
Люблю тебя, Владивосток!
Самые лучшие люди, самые великолепные достопримечательности России здесь!
Да будет так всегда!",05.05.2022,yandex,Приморский океанариум
"Отличное место для отдыха с детьми. Очень красивое место, можно посмотреть огромное колличество морских млекопитающих, от мелких рыбок до акул и тд. Зеленая зона с различными деревьями и тд. Есть живое интерестное представление с дельфинами и еще с кем то( забыл). Семия осталась довольна. Огромная парковка, есть туалеты, кафе ( кафе дорогое, готовят долго, выбор маленький, народу много, персонал не справляется) и тд. Между парковкой и океонариумом ездит бесплатный автобус каждые 7 минут.",30.04.2022,yandex,Приморский океанариум
"Всем советую посетить этот океанариум, т.к. оставляет большие и приятные впечатления. Огромное разнообразие  рыб, выступление белого, дельфинов и моржа Миши оставляют незабываемые впечатления! Тренеры молодцы, обращаются с животными так, что те сами готовы прыгнуть выше головы, чтобы всем понравиться. Видно, что они работают с удовольствием! Очень красивый дивный сад, по которому погулять доставляет огромное удовольствие.  Нам очень понравилось, хотим вернуться сюда ещё и не раз!",07.06.2022,yandex,Приморский океанариум
"Самые яркие впечатления оставил именно этот Океанариум. Увидите многих обитателей Восточного (японского) моря и Тихого океана. Обязательно пройдите по стеклянному туннелю, расположенному на дне гигантского аквариума, насладитесь многообразием подводных обитателей. И самое яркое впечатление, это кинозал с широкоформатным экраном-стеклом огромного аквариума. Садитесь напротив экрана, обстановка располагает и насладитесь умиротворяющим видом обитателей морских глубин. Детям будет интересно, рекомендую посещать небольшой группой 3-5 человек. На улице есть благоустроенные современные детские площадки. Берите экскурсовода. Экскурсия по времени на 1,5-2  часа. Туалеты есть и легкодоступны. Также для тех кто немного устал и проголодался есть уютные кафе рядом ""не всплывая на поверхность"". Также есть программы дельфинария, которые необходимо оплатить когда вы приобретаете билеты в кассах. Социальные скидки на билеты предусмотрены при предъявлении соответствующих документов.
Отдельное спасибо персоналу Океанариума за приветливость и радушие.",12.05.2022,yandex,Приморский океанариум
"Отличное место! Все очень понравилось. Огромные залы с множеством экспанатов. Отличный ремонт и наполнение экспозиции. Можно ознакомиться с историей зарождения жизни на планете.  Много различных живых рыб и морских организмов в аквариумах. Есть возможность детям потрогать вживую морских звезд. Жаль что не попал на выступление дельфинов. Но есть один минус - очень дорогая еда в кафе, неоправданно дорогая! Дети после посещении,  я думаю, будут в восторге.",02.05.2022,yandex,Приморский океанариум
